kind,offset,length,width_px,height_px,file,note
graphic-header,0x04c1a7,22,8,12,headers/gfx_00197f_8x12_1bpp.h,run after 0x001595
graphic,0x04c1bd,22,8,12,graphics/gfx_001995_8x12_1bpp.png,run after 0x001595
graphic-header,0x04c1bd,22,8,12,headers/gfx_001995_8x12_1bpp.h,run after 0x001595
graphic,0x04c1d3,22,8,12,graphics/gfx_0019ab_8x12_1bpp.png,direct: DAT_00008914
graphic-header,0x04c1d3,22,8,12,headers/gfx_0019ab_8x12_1bpp.h,direct: DAT_00008914
graphic,0x04c1e9,22,8,12,graphics/gfx_0019c1_8x12_1bpp.png,run after 0x0019ab
graphic-header,0x04c1e9,22,8,12,headers/gfx_0019c1_8x12_1bpp.h,run after 0x0019ab
graphic,0x04c1ff,22,8,12,graphics/gfx_0019d7_8x12_1bpp.png,run after 0x0019ab
graphic-header,0x04c1ff,22,8,12,headers/gfx_0019d7_8x12_1bpp.h,run after 0x0019ab
graphic,0x04c215,990,52,11,graphics/gfx_0019ed_52x11_8bpp.png,direct: DAT_00008ba8
graphic-header,0x04c215,990,52,11,headers/gfx_0019ed_52x11_8bpp.h,direct: DAT_00008ba8
graphic,0x04c5f3,884,107,4,graphics/gfx_001dcb_107x4_8bpp.png,run after 0x0019ed
graphic-header,0x04c5f3,884,107,4,headers/gfx_001dcb_107x4_8bpp.h,run after 0x0019ed
graphic,0x04c967,2720,126,18,graphics/gfx_00213f_126x18_8bpp.png,run after 0x0019ed
graphic-header,0x04c967,2720,126,18,headers/gfx_00213f_126x18_8bpp.h,run after 0x0019ed
graphic,0x04d407,860,107,4,graphics/gfx_002bdf_107x4_8bpp.png,run after 0x0019ed
graphic-header,0x04d407,860,107,4,headers/gfx_002bdf_107x4_8bpp.h,run after 0x0019ed
graphic,0x04d763,2814,128,21,graphics/gfx_002f3b_128x21_8bpp.png,run after 0x0019ed
graphic-header,0x04d763,2814,128,21,headers/gfx_002f3b_128x21_8bpp.h,run after 0x0019ed
graphic,0x04e261,2348,128,16,graphics/gfx_003a39_128x16_8bpp.png,run after 0x0019ed
graphic-header,0x04e261,2348,128,16,headers/gfx_003a39_128x16_8bpp.h,run after 0x0019ed
graphic,0x04eb8d,6918,80,80,graphics/gfx_004365_80x80_8bpp.png,run after 0x0019ed
graphic-header,0x04eb8d,6918,80,80,headers/gfx_004365_80x80_8bpp.h,run after 0x0019ed
graphic,0x050693,1842,120,15,graphics/gfx_005e6b_120x15_8bpp.png,run after 0x0019ed
graphic-header,0x050693,1842,120,15,headers/gfx_005e6b_120x15_8bpp.h,run after 0x0019ed
graphic,0x050dc5,2372,128,16,graphics/gfx_00659d_128x16_8bpp.png,run after 0x0019ed
graphic-header,0x050dc5,2372,128,16,headers/gfx_00659d_128x16_8bpp.h,run after 0x0019ed
graphic,0x051709,2394,128,17,graphics/gfx_006ee1_128x17_8bpp.png,run after 0x0019ed
graphic-header,0x051709,2394,128,17,headers/gfx_006ee1_128x17_8bpp.h,run after 0x0019ed
graphic,0x052063,2284,128,16,graphics/gfx_00783b_128x16_8bpp.png,run after 0x0019ed
graphic-header,0x052063,2284,128,16,headers/gfx_00783b_128x16_8bpp.h,run after 0x0019ed
graphic,0x05294f,2530,48,48,graphics/gfx_008127_48x48_8bpp.png,direct: DAT_00008e68
graphic-header,0x05294f,2530,48,48,headers/gfx_008127_48x48_8bpp.h,direct: DAT_00008e68
graphic,0x053331,112,8,12,graphics/gfx_008b09_8x12_8bpp.png,run after 0x008127
graphic-header,0x053331,112,8,12,headers/gfx_008b09_8x12_8bpp.h,run after 0x008127
graphic,0x0533a1,124,8,12,graphics/gfx_008b79_8x12_8bpp.png,run after 0x008127
graphic-header,0x0533a1,124,8,12,headers/gfx_008b79_8x12_8bpp.h,run after 0x008127
graphic,0x05341d,2988,128,21,graphics/gfx_008bf5_128x21_8bpp.png,run after 0x008127
graphic-header,0x05341d,2988,128,21,headers/gfx_008bf5_128x21_8bpp.h,run after 0x008127
graphic,0x053fc9,80,11,4,graphics/gfx_0097a1_11x4_8bpp.png,direct: DAT_00008fb4
graphic-header,0x053fc9,80,11,4,headers/gfx_0097a1_11x4_8bpp.h,direct: DAT_00008fb4
graphic,0x054019,342,19,16,graphics/gfx_0097f1_19x16_8bpp.png,run after 0x0097a1
graphic-header,0x054019,342,19,16,headers/gfx_0097f1_19x16_8bpp.h,run after 0x0097a1
graphic,0x05416f,346,19,16,graphics/gfx_009947_19x16_8bpp.png,run after 0x0097a1
graphic-header,0x05416f,346,19,16,headers/gfx_009947_19x16_8bpp.h,run after 0x0097a1
graphic,0x0542c9,270,128,2,graphics/gfx_009aa1_128x2_8bpp.png,run after 0x0097a1
